frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,1.0,[57.614501953125 957.885986328125 1319.294921875 1671.84716796875],[279.88397216796875 1363.930419921875 574.6309814453125 1459.46240234375],0.7183022499084473,MI399CT,0.9661611348937236
0,2.0,[2351.7998046875 998.8070678710938 3540.29248046875 1685.81103515625],[3014.1572265625 1494.23974609375 3299.6083984375 1588.5517578125],0.7147618532180786,MI899FM,0.9909552052380851
1,1.0,[57.1397705078125 956.7294921875 1319.2647705078125 1671.946533203125],[283.2497253417969 1364.95068359375 574.2295532226562 1459.0888671875],0.718119204044342,MI399CT,0.8627371211841979
1,3.0,[1293.9676513671875 983.1433715820312 2221.107421875 1726.705078125],[1590.19921875 1511.0615234375 1876.24951171875 1599.3125],0.695478618144989,MI589FN,0.9807140561171542
2,1.0,[57.044124603271484 956.2734985351562 1318.4661865234375 1674.3255615234375],[284.0250244140625 1364.974365234375 574.939697265625 1458.9810791015625],0.7190730571746826,MI399CT,0.9914227879895394
2,2.0,[2351.685302734375 1001.839111328125 3543.533203125 1687.06689453125],[3016.93896484375 1495.732177734375 3301.37060546875 1590.532470703125],0.712539553642273,MI899FM,0.9846304987939378
3,2.0,[2351.670166015625 1001.5148315429688 3544.494384765625 1689.094482421875],[3017.69921875 1498.01025390625 3305.15283203125 1590.916748046875],0.7035512924194336,MII899FM,0.47317539758800425
4,1.0,[54.2907829284668 959.87548828125 1316.7015380859375 1672.186279296875],[286.6296081542969 1365.9395751953125 577.855224609375 1459.840087890625],0.7183054685592651,MI399CT,0.9940696960757632
4,3.0,[1298.479736328125 986.1741943359375 2221.1513671875 1723.940185546875],[1588.514892578125 1507.119140625 1882.863525390625 1603.209228515625],0.6895220279693604,MI589FN,0.9980555906788823
5,1.0,[56.79749298095703 958.5151977539062 1317.61474609375 1674.458740234375],[288.43634033203125 1366.6270751953125 577.1103515625 1460.3843994140625],0.7167277932167053,MI399CT,0.9965045410523377
6,1.0,[58.43521499633789 958.2715454101562 1319.2457275390625 1674.2591552734375],[289.70721435546875 1365.7296142578125 577.1033325195312 1460.65087890625],0.7170921564102173,MI399CT,0.7732859422305263
7,1.0,[59.07963180541992 958.2930297851562 1319.875 1674.35986328125],[289.60150146484375 1366.0179443359375 576.6175537109375 1462.70263671875],0.7181873917579651,MI399CT,0.9734499669649821
8,1.0,[57.73116683959961 960.288330078125 1319.6680908203125 1670.518310546875],[291.5833740234375 1366.45947265625 576.8092041015625 1463.2547607421875],0.7176589369773865,MI399CI,0.8319673362799779
9,1.0,[58.21855163574219 961.099365234375 1319.9361572265625 1671.1973876953125],[292.5726623535156 1366.3099365234375 576.3275756835938 1464.4229736328125],0.7207863330841064,M1399CI,0.6967500528090199
10,1.0,[58.451011657714844 962.885986328125 1320.703125 1673.7447509765625],[292.589111328125 1366.05908203125 577.1339111328125 1465.348388671875],0.7250041365623474,MI399CI,0.8434910704648451
